Date,Inbound,Outbound
5/27/2020,908070.8,12989678.85
5/27/2020,901446.47,6931455.65
5/27/2020,1083025.61,20745530.15
5/27/2020,1546829.07,29683247.92
5/27/2020,1223597.82,16281727.9
5/27/2020,2693582.74,16283509.5
5/27/2020,1747529.36,23087299.44
5/27/2020,2448300.43,31694851.78
5/27/2020,13330639.25,36262700.85
5/28/2020,42038487.62,27094783.89
5/28/2020,847144.86,15250912.32
5/28/2020,15591496.15,9943051.77
5/28/2020,975639.13,13111343.89
5/28/2020,1918290.24,12556530.1
5/28/2020,898459.82,10760909.15
5/28/2020,1020567.53,13370587.49
5/28/2020,1788308.68,16329298.4
5/28/2020,1687008.21,21295515.03
5/28/2020,2497114.4,42684053.81
5/28/2020,1659964.07,32320876.22
5/28/2020,1138958.6,25145110.56
5/29/2020,1006173.23,21010722.26
5/29/2020,569882.02,4089317.89
5/29/2020,479892.77,2913646.63
5/29/2020,807165.16,4456485.35
5/29/2020,1526522.03,3714670.72
5/29/2020,710401.34,3887987.33
5/29/2020,847239.4,7230873.46
5/29/2020,1045241.42,8280489.62
5/29/2020,1263131.19,8967169.97
5/29/2020,1395315.06,12138619.15
5/29/2020,1721848.68,16515079.31
5/29/2020,6545235.83,20885850.09
5/30/2020,35536740.32,13350413.85
5/30/2020,868675.65,8166892.72
5/30/2020,824725.93,8425393.96
5/30/2020,1199526.63,10696396.73
5/30/2020,838997.3,7470053.79
5/30/2020,894317.16,8993764.74
5/30/2020,2110882.56,8292657.42
5/30/2020,2103383.33,8419006.99
5/30/2020,1414016.58,10286768.53
5/30/2020,2426216.03,12212357.8
5/30/2020,1345655.73,12920465.05
5/30/2020,4114408.35,11117344.82
5/31/2020,1317557.25,6231517.13
5/31/2020,657529.33,6326118.56
5/31/2020,505429.65,4873952.45
5/31/2020,601366.07,3089102.96
5/31/2020,514409.9,2518125.87
5/31/2020,1127562.45,2700964.64
5/31/2020,652592.93,5459493.9
5/31/2020,620489.62,4408140.16
5/31/2020,886638.09,9228079.09
5/31/2020,1091801.36,9120582.02
5/31/2020,1087506.21,6967674.96
5/31/2020,5225033.32,9256707.39
6/1/2020,1798198.67,9997800.03
6/1/2020,1938006.02,10905458.13
6/1/2020,10338417.06,7257221.17
6/1/2020,1020515.24,5807374.86
6/1/2020,1046070.98,4402011.42
6/1/2020,743364.26,5355895.04
6/1/2020,1797339.46,9534457.9
6/1/2020,948548.33,8466108.32
6/1/2020,813130.5,9024450.1
6/1/2020,1130807.94,8371484.13
6/1/2020,1445796.09,13747508.9
6/1/2020,1364080.99,15056836.04
6/2/2020,2001782.49,13671873.09
6/2/2020,697107.04,6955726.57
6/2/2020,13335424.88,6683292.86
6/2/2020,15363463.4,8389849.54
6/2/2020,798915.54,10746282.83
6/2/2020,1588341.82,12503713.63
6/2/2020,1586077.29,8940829.4
6/2/2020,978410.23,8886974.83
6/2/2020,1464017.22,9043191.68
6/2/2020,1103540.85,10881997.91
6/2/2020,2104306.88,9547119.36
6/2/2020,14951199.87,11387425.16
6/3/2020,919900.33,9498985.12
6/3/2020,645615.33,8869446.64
6/3/2020,499543.71,3804688.59
6/3/2020,526393.51,3767342.51
6/3/2020,768397.3,7771182.64
6/3/2020,678488.07,5837946.65
6/3/2020,2069092.31,6605948.57
6/3/2020,901797.94,8313999.96
